training_id,employee_id,company_id,course_name,course_category,enrollment_date,completion_date,completion_status,score,duration_hours
TR000026,C01-E0336,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-04-23,2026-05-20,Concluido,77.0,1.8
TR000027,C01-E0106,C01,Fundamentos de IA Generativa,IA Generativa,2025-06-07,2025-06-12,Concluido,65.0,2.1
TR000028,C01-E0106,C01,Prompt Engineering na Pratica,IA Generativa,2025-10-31,2025-11-23,Concluido,75.0,3.2
TR000029,C01-E0090,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-01-27,2026-02-26,Concluido,87.0,1.1
TR000030,C01-E0090,C01,Etica e Governanca de Dados em IA,Governanca,2026-05-05,,Nao Iniciado,,2.0
TR000031,C01-E0090,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-06-07,2025-07-17,Concluido,69.0,3.7
TR000032,C01-E0141,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-11-30,,Em Andamento,,1.7
TR000033,C01-E0141,C01,Etica e Governanca de Dados em IA,Governanca,2025-10-12,,Abandonado,,1.8
TR000034,C01-E0141,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-06-06,2025-07-08,Concluido,68.0,3.7
TR000035,C01-E0221,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-10-22,2025-11-29,Concluido,94.0,4.8
TR000036,C01-E0313,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-03-19,,Abandonado,,4.5
TR000037,C01-E0164,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-07-12,2026-08-10,Concluido,80.0,0.9
TR000038,C01-E0164,C01,Prompt Engineering na Pratica,IA Generativa,2026-05-21,2026-07-09,Concluido,60.0,2.7
TR000039,C01-E0297,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2025-12-14,,Nao Iniciado,,1.7
TR000040,C01-E0297,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-06-06,,Em Andamento,,2.2
TR000041,C01-E0297,C01,Automatizacao de Tarefas com IA,Produtividade,2026-04-05,2026-05-29,Concluido,79.0,3.0
TR000042,C01-E0345,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-10-14,2025-12-12,Concluido,70.0,2.4
TR000043,C01-E0345,C01,Analise de Dados com IA,Dados e Analytics,2026-02-08,,Em Andamento,,4.8
TR000044,C01-E0274,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-01-26,,Em Andamento,,3.8
TR000045,C01-E0274,C01,IA para Times Comerciais,Aplicacoes de Negocio,2025-09-18,2025-11-02,Concluido,83.0,1.5
TR000046,C01-E0046,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-12-26,2026-02-23,Concluido,96.0,4.5
TR000047,C01-E0329,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-05-11,2026-06-17,Concluido,77.0,1.9
TR000048,C01-E0329,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-05-13,2026-07-12,Concluido,83.0,0.9
TR000049,C01-E0315,C01,Prompt Engineering na Pratica,IA Generativa,2026-06-28,,Em Andamento,,2.6
TR000050,C01-E0315,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-05-26,,Em Andamento,,1.4
TR000051,C01-E0039,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-10-14,2025-11-05,Concluido,78.0,1.7
TR000052,C01-E0173,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-04-27,2026-05-31,Concluido,93.0,1.5
TR000053,C01-E0034,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-05-19,2026-06-17,Concluido,85.0,2.0
TR000054,C01-E0060,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-03-29,,Abandonado,,3.7
TR000055,C01-E0113,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-06-20,,Nao Iniciado,,1.1
TR000056,C01-E0151,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-07-07,,Em Andamento,,3.9
TR000057,C01-E0151,C01,Etica e Governanca de Dados em IA,Governanca,2025-11-20,,Abandonado,,1.8
TR000058,C01-E0108,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-09-23,2025-10-22,Concluido,71.0,0.9
TR000059,C01-E0108,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-06-11,,Abandonado,,2.1
TR000060,C01-E0188,C01,IA para Times Comerciais,Aplicacoes de Negocio,2025-07-13,,Nao Iniciado,,1.4
TR000061,C01-E0233,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-07-10,2026-08-10,Concluido,56.0,2.0
TR000062,C01-E0239,C01,Analise de Dados com IA,Dados e Analytics,2026-07-04,2026-08-10,Concluido,64.0,4.3
TR000063,C01-E0239,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-07-13,2026-08-04,Concluido,56.0,1.1
TR000064,C01-E0216,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-02-18,,Nao Iniciado,,1.7
TR000065,C01-E0123,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-11-07,,Em Andamento,,1.0
TR000066,C01-E0292,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-06-06,,Em Andamento,,4.3
TR000067,C01-E0143,C01,Prompt Engineering na Pratica,IA Generativa,2026-04-18,,Nao Iniciado,,3.2
TR000068,C01-E0062,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-04-12,,Abandonado,,2.2
TR000069,C01-E0178,C01,Automatizacao de Tarefas com IA,Produtividade,2025-11-12,2025-12-06,Concluido,63.0,2.6
TR000070,C01-E0021,C01,Fundamentos de IA Generativa,IA Generativa,2026-03-27,2026-04-13,Concluido,71.0,1.9
TR000071,C01-E0360,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-09-16,2025-11-06,Concluido,79.0,1.2
TR000072,C01-E0075,C01,Fundamentos de IA Generativa,IA Generativa,2026-01-31,2026-02-05,Concluido,92.0,2.0
TR000073,C01-E0352,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-06-03,,Em Andamento,,1.7
TR000074,C01-E0352,C01,Analise de Dados com IA,Dados e Analytics,2026-02-27,2026-03-28,Concluido,71.0,3.7
TR000075,C01-E0165,C01,Automatizacao de Tarefas com IA,Produtividade,2026-06-26,,Em Andamento,,2.3
TR000076,C01-E0007,C01,Prompt Engineering na Pratica,IA Generativa,2025-10-04,,Nao Iniciado,,3.0
TR000077,C01-E0252,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-01-30,2026-03-30,Concluido,99.0,1.4
TR000078,C01-E0064,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-07-19,2026-08-10,Concluido,69.0,1.7
TR000079,C01-E0093,C01,Fundamentos de IA Generativa,IA Generativa,2026-04-07,2026-04-30,Concluido,84.0,2.0
TR000080,C01-E0085,C01,Fundamentos de IA Generativa,IA Generativa,2025-08-14,,Nao Iniciado,,2.4
TR000081,C01-E0085,C01,Etica e Governanca de Dados em IA,Governanca,2026-07-19,2026-08-10,Concluido,72.0,2.4
TR000082,C01-E0085,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-11-16,,Em Andamento,,1.1
TR000083,C01-E0134,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-07-19,,Nao Iniciado,,3.7
TR000084,C01-E0147,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-09-13,,Abandonado,,2.4
TR000085,C01-E0147,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2026-05-25,,Nao Iniciado,,1.5
TR000086,C01-E0147,C01,Analise de Dados com IA,Dados e Analytics,2026-06-08,2026-07-16,Concluido,94.0,4.4
TR000087,C01-E0112,C01,Analise de Dados com IA,Dados e Analytics,2025-10-13,,Em Andamento,,4.6
TR000088,C01-E0325,C01,Fundamentos de IA Generativa,IA Generativa,2026-07-27,,Nao Iniciado,,1.8
TR000089,C01-E0087,C01,Etica e Governanca de Dados em IA,Governanca,2025-08-28,,Em Andamento,,2.0
TR000090,C01-E0087,C01,Automatizacao de Tarefas com IA,Produtividade,2025-11-28,2025-12-10,Concluido,88.0,2.6
TR000091,C01-E0195,C01,Prompt Engineering na Pratica,IA Generativa,2026-07-02,2026-08-07,Concluido,59.0,2.6
TR000092,C01-E0195,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-01-26,2026-03-09,Concluido,78.0,2.3
TR000093,C01-E0357,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-06-09,2025-08-05,Concluido,79.0,1.9
TR000094,C01-E0018,C01,Etica e Governanca de Dados em IA,Governanca,2025-11-06,2025-12-11,Concluido,86.0,2.1
TR000095,C01-E0017,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-07-29,,Nao Iniciado,,1.5
TR000096,C01-E0190,C01,Fundamentos de IA Generativa,IA Generativa,2026-06-22,,Em Andamento,,2.3
TR000097,C01-E0201,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-09-18,2025-10-27,Concluido,99.0,1.8
TR000098,C01-E0201,C01,Automatizacao de Tarefas com IA,Produtividade,2026-01-13,,Nao Iniciado,,2.4
TR000099,C01-E0092,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-03-20,2026-04-16,Concluido,78.0,1.1
TR000100,C01-E0222,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-06-12,,Abandonado,,2.1
TR000101,C01-E0255,C01,Analise de Dados com IA,Dados e Analytics,2026-07-10,2026-07-22,Concluido,75.0,4.7
TR000102,C01-E0333,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2025-09-22,,Abandonado,,1.3
TR000103,C01-E0333,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-02-12,2026-04-07,Concluido,60.0,2.3
TR000104,C01-E0047,C01,Fundamentos de IA Generativa,IA Generativa,2025-10-26,,Nao Iniciado,,2.1
TR000105,C01-E0322,C01,Automatizacao de Tarefas com IA,Produtividade,2025-10-03,,Em Andamento,,2.2
TR000106,C01-E0322,C01,IA para Times Comerciais,Aplicacoes de Negocio,2025-11-09,2025-12-22,Concluido,63.0,1.8
TR000107,C01-E0035,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-03-02,2026-03-29,Concluido,80.0,1.6
TR000108,C01-E0215,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-10-08,,Nao Iniciado,,1.2
TR000109,C01-E0215,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-11-03,,Nao Iniciado,,1.3
TR000110,C01-E0212,C01,Analise de Dados com IA,Dados e Analytics,2025-09-16,2025-09-20,Concluido,81.0,3.9
TR000111,C01-E0030,C01,Automatizacao de Tarefas com IA,Produtividade,2026-07-22,2026-08-10,Concluido,70.0,2.6
TR000112,C01-E0122,C01,Prompt Engineering na Pratica,IA Generativa,2026-01-27,,Nao Iniciado,,2.6
TR000113,C01-E0122,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-06-14,,Nao Iniciado,,1.3
TR000114,C01-E0363,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-08-06,,Abandonado,,1.1
TR000115,C01-E0363,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-02-03,,Em Andamento,,3.8
TR000116,C01-E0109,C01,Automatizacao de Tarefas com IA,Produtividade,2025-10-24,2025-11-27,Concluido,100.0,2.3
TR000117,C01-E0271,C01,Etica e Governanca de Dados em IA,Governanca,2026-06-28,,Abandonado,,2.1
TR000118,C01-E0261,C01,Etica e Governanca de Dados em IA,Governanca,2025-09-10,2025-09-15,Concluido,64.0,1.8
TR000119,C01-E0261,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-04-18,2026-04-25,Concluido,81.0,1.7
TR000120,C01-E0268,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-06-06,2025-06-17,Concluido,83.0,0.9
TR000121,C01-E0229,C01,Fundamentos de IA Generativa,IA Generativa,2026-07-10,2026-08-05,Concluido,73.0,1.9
TR000122,C01-E0311,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-02-03,2026-03-02,Concluido,75.0,1.8
TR000123,C01-E0311,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-10-14,,Nao Iniciado,,2.4
TR000124,C01-E0285,C01,Analise de Dados com IA,Dados e Analytics,2026-03-20,2026-04-14,Concluido,78.0,4.0
TR000125,C01-E0245,C01,Fundamentos de IA Generativa,IA Generativa,2025-11-17,2026-01-11,Concluido,77.0,2.0
TR000126,C01-E0227,C01,Prompt Engineering na Pratica,IA Generativa,2026-04-12,,Nao Iniciado,,2.8
TR000127,C01-E0177,C01,Prompt Engineering na Pratica,IA Generativa,2025-07-22,2025-09-15,Concluido,98.0,3.1
TR000128,C01-E0191,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-02-20,2026-04-08,Concluido,62.0,1.1
TR000129,C01-E0323,C01,IA para Times Comerciais,Aplicacoes de Negocio,2025-11-18,2025-12-22,Concluido,55.0,1.6
TR000130,C01-E0323,C01,Prompt Engineering na Pratica,IA Generativa,2025-11-09,2025-12-16,Concluido,65.0,3.0
TR000131,C01-E0260,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-05-21,2026-06-27,Concluido,100.0,4.0
TR000132,C01-E0260,C01,Prompt Engineering na Pratica,IA Generativa,2025-10-01,2025-11-02,Concluido,85.0,2.6
TR000133,C01-E0055,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-08-22,2025-10-16,Concluido,100.0,1.1
TR000134,C01-E0055,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-04-29,,Abandonado,,2.1
TR000135,C01-E0284,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-06-07,,Abandonado,,1.5
TR000136,C01-E0059,C01,Automatizacao de Tarefas com IA,Produtividade,2026-03-18,2026-05-13,Concluido,71.0,2.8
TR000137,C01-E0059,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-09-02,,Nao Iniciado,,2.3
TR000138,C01-E0081,C01,Etica e Governanca de Dados em IA,Governanca,2025-09-07,2025-11-02,Concluido,58.0,2.2
TR000139,C01-E0339,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-08-09,,Abandonado,,1.9
TR000140,C01-E0339,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2025-10-09,,Em Andamento,,1.3
TR000141,C01-E0202,C01,Analise de Dados com IA,Dados e Analytics,2025-10-11,,Nao Iniciado,,4.0
TR000142,C01-E0052,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-01-27,2026-02-17,Concluido,60.0,2.2
TR000143,C01-E0004,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-08-09,,Em Andamento,,1.7
TR000144,C01-E0004,C01,Prompt Engineering na Pratica,IA Generativa,2025-06-28,2025-07-28,Concluido,78.0,3.3
TR000145,C01-E0362,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-01-04,2026-01-09,Concluido,58.0,1.0
TR000146,C01-E0247,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-11-15,2025-12-05,Concluido,89.0,0.9
TR000147,C01-E0334,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-07-03,2026-08-10,Concluido,82.0,1.5
TR000148,C01-E0334,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-05-19,,Nao Iniciado,,3.7
TR000149,C01-E0249,C01,Analise de Dados com IA,Dados e Analytics,2025-07-04,,Nao Iniciado,,4.7
TR000150,C01-E0044,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-03-05,2026-03-28,Concluido,91.0,1.7
TR000151,C01-E0044,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-10-06,,Em Andamento,,1.8
TR000152,C01-E0161,C01,Prompt Engineering na Pratica,IA Generativa,2026-07-27,2026-08-03,Concluido,95.0,2.6
TR000153,C01-E0264,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-09-30,,Abandonado,,1.7
TR000154,C01-E0206,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2025-11-25,,Em Andamento,,1.3
TR000155,C01-E0343,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-12-09,2026-01-29,Concluido,75.0,2.3
TR000156,C01-E0327,C01,Etica e Governanca de Dados em IA,Governanca,2025-08-12,2025-08-21,Concluido,55.0,1.9
TR000157,C01-E0319,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-10-01,,Nao Iniciado,,1.6
TR000158,C01-E0166,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-03-15,,Abandonado,,1.8
TR000159,C01-E0166,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-11-15,2026-01-06,Concluido,74.0,2.0
TR000160,C01-E0314,C01,Prompt Engineering na Pratica,IA Generativa,2026-01-03,,Nao Iniciado,,3.4
TR000161,C01-E0314,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2026-02-22,2026-04-01,Concluido,79.0,1.6
TR000162,C01-E0056,C01,IA para Times Comerciais,Aplicacoes de Negocio,2025-06-14,2025-08-13,Concluido,79.0,1.4
TR000163,C01-E0067,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-07-05,2025-07-18,Concluido,63.0,1.6
TR000164,C01-E0096,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-01-08,,Em Andamento,,0.9
TR000165,C01-E0291,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-09-07,2025-09-23,Concluido,58.0,1.7
TR000166,C01-E0291,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2026-07-03,2026-08-05,Concluido,65.0,1.0
TR000167,C01-E0278,C01,Etica e Governanca de Dados em IA,Governanca,2025-09-02,,Abandonado,,2.3
TR000168,C01-E0278,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-08-02,2025-09-23,Concluido,71.0,0.9
TR000169,C01-E0290,C01,Fundamentos de IA Generativa,IA Generativa,2026-06-07,,Em Andamento,,1.9
TR000170,C01-E0354,C01,Fundamentos de IA Generativa,IA Generativa,2026-05-15,2026-06-15,Concluido,63.0,2.3
TR000171,C01-E0273,C01,Etica e Governanca de Dados em IA,Governanca,2026-02-09,2026-02-22,Concluido,72.0,2.2
TR000172,C01-E0273,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-06-25,,Abandonado,,4.3
TR000173,C01-E0273,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-06-13,2025-07-07,Concluido,96.0,1.1
TR000174,C01-E0277,C01,Introducao ao ChatGPT Enterprise,Ferramentas Corporativas,2025-08-07,,Abandonado,,1.2
TR000175,C01-E0171,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2025-08-03,,Em Andamento,,1.6
TR000176,C01-E0205,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-02-07,2026-03-11,Concluido,68.0,1.7
TR000177,C01-E0104,C01,Prompt Engineering na Pratica,IA Generativa,2026-02-01,2026-03-14,Concluido,78.0,2.8
TR000178,C01-E0104,C01,Etica e Governanca de Dados em IA,Governanca,2025-09-11,2025-09-26,Concluido,85.0,2.0
TR000179,C01-E0179,C01,Etica e Governanca de Dados em IA,Governanca,2026-02-27,2026-04-21,Concluido,89.0,2.2
TR000180,C01-E0203,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2025-10-01,2025-10-04,Concluido,86.0,1.3
TR000181,C01-E0203,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2026-07-15,2026-07-21,Concluido,76.0,2.2
TR000182,C01-E0203,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-06-01,,Nao Iniciado,,3.6
TR000183,C01-E0344,C01,Prompt Engineering na Pratica,IA Generativa,2025-09-30,,Abandonado,,2.6
TR000184,C01-E0288,C01,Analise de Dados com IA,Dados e Analytics,2025-08-28,2025-10-23,Concluido,92.0,4.7
TR000185,C01-E0288,C01,Fundamentos de IA Generativa,IA Generativa,2026-04-21,2026-06-18,Concluido,92.0,2.3
TR000186,C01-E0288,C01,Automatizacao de Tarefas com IA,Produtividade,2025-11-17,,Em Andamento,,2.2
TR000187,C01-E0265,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2026-06-03,2026-06-23,Concluido,98.0,1.7
TR000188,C01-E0265,C01,Prompt Engineering na Pratica,IA Generativa,2025-06-21,2025-07-20,Concluido,86.0,3.5
TR000189,C01-E0133,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-06-15,,Abandonado,,2.0
TR000190,C01-E0133,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-06-25,2026-08-10,Concluido,73.0,3.6
TR000191,C01-E0027,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2026-05-01,2026-05-12,Concluido,89.0,2.0
TR000192,C01-E0027,C01,Analise de Dados com IA,Dados e Analytics,2025-08-29,2025-10-18,Concluido,71.0,4.1
TR000193,C01-E0335,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-09-06,2025-10-10,Concluido,72.0,1.9
TR000194,C01-E0286,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2025-09-20,2025-10-25,Concluido,90.0,4.2
TR000195,C01-E0286,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-12-11,2025-12-30,Concluido,57.0,2.1
TR000196,C01-E0321,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-06-11,2025-06-28,Concluido,71.0,1.8
TR000197,C01-E0316,C01,Automatizacao de Tarefas com IA,Produtividade,2025-06-07,2025-07-12,Concluido,76.0,2.3
TR000198,C01-E0316,C01,Prompt Engineering na Pratica,IA Generativa,2025-08-19,,Abandonado,,3.5
TR000199,C01-E0051,C01,Microsoft 365 Copilot na Pratica,Ferramentas Corporativas,2025-08-15,2025-09-20,Concluido,58.0,2.3
TR000200,C01-E0330,C01,Prompt Engineering na Pratica,IA Generativa,2025-08-19,2025-08-22,Concluido,100.0,3.0
TR000201,C01-E0298,C01,Automatizacao de Tarefas com IA,Produtividade,2026-03-25,,Nao Iniciado,,2.7
TR000202,C01-E0326,C01,Prompt Engineering na Pratica,IA Generativa,2026-07-15,,Nao Iniciado,,3.0
TR000203,C01-E0103,C01,Prompt Engineering na Pratica,IA Generativa,2026-05-09,,Em Andamento,,3.5
TR000204,C01-E0103,C01,Fundamentos de IA Generativa,IA Generativa,2026-03-24,2026-05-15,Concluido,59.0,2.1
TR000205,C01-E0103,C01,LGPD e Ferramentas de IA,Seguranca e Compliance,2025-11-06,,Abandonado,,1.7
TR000206,C01-E0341,C01,IA para Times Comerciais,Aplicacoes de Negocio,2026-05-02,,Abandonado,,1.6
TR000207,C01-E0341,C01,Automatizacao de Tarefas com IA,Produtividade,2025-07-24,2025-08-30,Concluido,96.0,2.6
TR000208,C01-E0262,C01,Etica e Governanca de Dados em IA,Governanca,2025-09-20,,Em Andamento,,2.3
TR000209,C01-E0262,C01,Automatizacao de Tarefas com IA,Produtividade,2026-04-13,2026-05-19,Concluido,77.0,2.5
TR000210,C01-E0240,C01,Etica e Governanca de Dados em IA,Governanca,2025-11-15,2025-12-20,Concluido,96.0,2.3
TR000211,C01-E0340,C01,Seguranca da Informacao e Uso de IA,Seguranca e Compliance,2025-07-22,2025-08-16,Concluido,87.0,1.7
TR000212,C01-E0235,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2025-11-30,2026-01-02,Concluido,78.0,1.6
TR000213,C01-E0066,C01,Copilot para Desenvolvedores,Ferramentas de Desenvolvimento,2026-06-23,2026-07-22,Concluido,89.0,3.9
TR000214,C01-E0066,C01,IA Responsavel: Vieses e Limitacoes,Governanca,2025-11-13,2025-12-10,Concluido,78.0,1.6
TR000215,C01-E0094,C01,Automatizacao de Tarefas com IA,Produtividade,2026-06-21,2026-07-01,Concluido,65.0,2.2
